Ingredient,EffectOne,EffectTwo,EffectThree,EffectFour
Abecean Longfin,Weakness to Frost,Fortify Sneak,Weakness to Poison,Fortify Restoration
Bear Claws,Restore Stamina,Fortify Health,Fortify One-Handed,Damage Magicka Regen
Bee,Restore Stamina,Ravage Stamina,Regenerate Stamina,Weakness to Shock
Beehive Husk,Resist Poison,Fortify Light Armor,Fortify Sneak,Fortify Destruction
Berit's Ashes,Damage Stamina,Resist Fire,Fortify Conjuration,Ravage Stamina
Bleeding Crown,Weakness to Fire,Fortify Block,Weakness to Poison,Resist Magic
Blisterwort,Damage Stamina,Frenzy,Restore Health,Fortify Smithing
Blue Butterfly Wing,Damage Stamina,Fortify Conjuration,Damage Magicka Regen,Fortify Enchanting
Blue Dartwing,Resist Shock,Fortify Pickpocket,Restore Health,Fear
Blue Mountain Flower,Restore Health,Fortify Conjuration,Fortify Health,Damage Magicka Regen
Bone Meal,Damage Stamina,Resist Fire,Fortify Conjuration,Ravage Stamina
Briar Heart,Restore Magicka,Fortify Block,Paralysis,Fortify Magicka
Butterfly Wing,Restore Health,Fortify Barter,Lingering Damage Stamina,Damage Magicka
Canis Root,Damage Stamina,Fortify One-Handed,Fortify Marksman,Paralysis
Charred Skeever Hide,Restore Stamina,Cure Disease,Resist Poison,Restore Health
Chaurus Eggs,Weakness to Poison,Fortify Stamina,Damage Magicka,Invisibility
Chicken's Egg,Resist Magic,Damage Magicka Regen,Waterbreathing,Lingering Damage Stamina
Creep Cluster,Restore Magicka,Damage Stamina Regen,Fortify Carry Weight,Weakness to Magic
Crimson Nirnroot,Damage Health,Damage Stamina,Invisibility,Resist Magic
Cyrodilic Spadetail,Damage Stamina,Fortify Restoration,Fear,Ravage Health
Daedra Heart,Restore Health,Damage Stamina Regen,Damage Magicka,Fear
Deathbell,Damage Health,Ravage Stamina,Slow,Weakness to Poison
Dragon's Tongue,Resist Fire,Fortify Barter,Fortify Illusion,Fortify Two-Handed
Dwarven Oil,Weakness to Magic,Fortify Illusion,Regenerate Magicka,Restore Magicka
Ectoplasm,Restore Magicka,Fortify Destruction,Fortify Magicka,Damage Health
Elves Ear,Restore Magicka,Fortify Marksman,Weakness to Frost,Resist Fire
Eye of Sabre Cat,Restore Stamina,Ravage Health,Damage Magicka,Restore Health
Falmer Ear,Damage Health,Frenzy,Resist Poison,Fortify Lockpicking
Fine-Cut Void Salts,Weakness to Shock,Resist Magic,Damage Health,Fortify Magicka
Fire Salts,Weakness to Frost,Resist Fire,Restore Magicka,Regenerate Magicka
Fly Amanita,Resist Fire,Fortify Two-Handed,Frenzy,Regenerate Stamina
Frost Mirriam,Resist Frost,Fortify Sneak,Ravage Magicka,Damage Stamina Regen
Frost Salts,Weakness to Fire,Resist Frost,Restore Magicka,Fortify Conjuration
Garlic,Resist Poison,Fortify Stamina,Regenerate Magicka,Regenerate Health
